"TimeStep","Gradient:0","Gradient:1","Gradient:2","temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2,0.00087839,2.7648e-08,0,0.00018591,1,0.271,0.271,0.5,0
2,0.00087837,2.665e-08,0,0.00018679,1,0.272,0.272,0.5,0
2,0.00087835,2.5652e-08,0,0.00018767,1,0.273,0.273,0.5,0
2,0.00087834,2.4654e-08,0,0.00018855,1,0.274,0.274,0.5,0
2,0.00087832,2.3656e-08,0,0.00018942,1,0.275,0.275,0.5,0
2,0.0008783,2.2658e-08,0,0.0001903,1,0.276,0.276,0.5,0
2,0.00087829,2.166e-08,0,0.00019118,1,0.277,0.277,0.5,0
2,0.00087827,2.0662e-08,0,0.00019206,1,0.278,0.278,0.5,0
2,0.00087825,1.9664e-08,0,0.00019294,1,0.279,0.279,0.5,0
2,0.00087824,1.8666e-08,0,0.00019382,1,0.28,0.28,0.5,0
2,0.00087789,1.7362e-08,0,0.0001947,1,0.281,0.281,0.5,0
2,0.00087754,1.6058e-08,0,0.00019558,1,0.282,0.282,0.5,0
2,0.00087719,1.4754e-08,0,0.00019645,1,0.283,0.283,0.5,0
2,0.00087684,1.345e-08,0,0.00019733,1,0.284,0.284,0.5,0
2,0.00087649,1.2146e-08,0,0.00019821,1,0.285,0.285,0.5,0
2,0.00087614,1.0842e-08,0,0.00019908,1,0.286,0.286,0.5,0
2,0.0008758,9.5382e-09,0,0.00019996,1,0.287,0.287,0.5,0
2,0.00087545,8.2343e-09,0,0.00020084,1,0.288,0.288,0.5,0
2,0.0008751,6.9303e-09,0,0.00020172,1,0.289,0.289,0.5,0
2,0.00087475,5.6263e-09,0,0.00020259,1,0.29,0.29,0.5,0
2,0.00087405,4.0743e-09,0,0.00020347,1,0.291,0.291,0.5,0
2,0.00087335,2.5224e-09,0,0.00020434,1,0.292,0.292,0.5,0
2,0.00087265,9.7042e-10,0,0.00020521,1,0.293,0.293,0.5,0
2,0.00087195,-5.8151e-10,0,0.00020608,1,0.294,0.294,0.5,0
2,0.00087125,-2.1334e-09,0,0.00020695,1,0.295,0.295,0.5,0
2,0.00087056,-3.6854e-09,0,0.00020783,1,0.296,0.296,0.5,0
2,0.00086986,-5.2374e-09,0,0.0002087,1,0.297,0.297,0.5,0
2,0.00086916,-6.7893e-09,0,0.00020957,1,0.298,0.298,0.5,0
2,0.00086846,-8.3413e-09,0,0.00021044,1,0.299,0.299,0.5,0
2,0.00086776,-9.8932e-09,0,0.00021132,1,0.3,0.3,0.5,0
2,0.0008667,-1.1514e-08,0,0.00021218,1,0.301,0.301,0.5,0
2,0.00086563,-1.3135e-08,0,0.00021304,1,0.302,0.302,0.5,0
2,0.00086457,-1.4756e-08,0,0.00021391,1,0.303,0.303,0.5,0
2,0.00086351,-1.6377e-08,0,0.00021477,1,0.304,0.304,0.5,0
2,0.00086245,-1.7998e-08,0,0.00021563,1,0.305,0.305,0.5,0
2,0.00086138,-1.9619e-08,0,0.0002165,1,0.306,0.306,0.5,0
2,0.00086032,-2.124e-08,0,0.00021736,1,0.307,0.307,0.5,0
2,0.00085926,-2.2861e-08,0,0.00021822,1,0.308,0.308,0.5,0
2,0.00085819,-2.4482e-08,0,0.00021909,1,0.309,0.309,0.5,0
2,0.00085713,-2.6103e-08,0,0.00021995,1,0.31,0.31,0.5,0
2,0.00085569,-2.7472e-08,0,0.0002208,1,0.311,0.311,0.5,0
2,0.00085425,-2.884e-08,0,0.00022165,1,0.312,0.312,0.5,0
2,0.00085281,-3.0208e-08,0,0.0002225,1,0.313,0.313,0.5,0
2,0.00085137,-3.1576e-08,0,0.00022335,1,0.314,0.314,0.5,0
2,0.00084993,-3.2945e-08,0,0.0002242,1,0.315,0.315,0.5,0
2,0.00084849,-3.4313e-08,0,0.00022505,1,0.316,0.316,0.5,0
2,0.00084705,-3.5681e-08,0,0.00022591,1,0.317,0.317,0.5,0
2,0.00084561,-3.7049e-08,0,0.00022676,1,0.318,0.318,0.5,0
2,0.00084417,-3.8417e-08,0,0.00022761,1,0.319,0.319,0.5,0
2,0.00084273,-3.9786e-08,0,0.00022846,1,0.32,0.32,0.5,0
2,0.00084091,-4.048e-08,0,0.00022929,1,0.321,0.321,0.5,0
2,0.00083908,-4.1174e-08,0,0.00023013,1,0.322,0.322,0.5,0
2,0.00083726,-4.1868e-08,0,0.00023096,1,0.323,0.323,0.5,0
2,0.00083543,-4.2562e-08,0,0.0002318,1,0.324,0.324,0.5,0
2,0.00083361,-4.3257e-08,0,0.00023263,1,0.325,0.325,0.5,0
2,0.00083178,-4.3951e-08,0,0.00023347,1,0.326,0.326,0.5,0
2,0.00082995,-4.4645e-08,0,0.0002343,1,0.327,0.327,0.5,0
2,0.00082813,-4.5339e-08,0,0.00023513,1,0.328,0.328,0.5,0
2,0.0008263,-4.6034e-08,0,0.00023597,1,0.329,0.329,0.5,0
2,0.00082448,-4.6728e-08,0,0.0002368,1,0.33,0.33,0.5,0
2,0.00082226,-4.6378e-08,0,0.00023762,1,0.331,0.331,0.5,0
2,0.00082004,-4.6028e-08,0,0.00023843,1,0.332,0.332,0.5,0
2,0.00081783,-4.5679e-08,0,0.00023925,1,0.333,0.333,0.5,0
2,0.00081561,-4.5329e-08,0,0.00024006,1,0.334,0.334,0.5,0
